"indicator_code"	"indicator_name"	"long_definition"
"SP.POP.AG04.MA.UN"	"Population, age 4, male"	"Population, age 4, male refers to the male population at the specified age."
"SP.POP.AG04.TO.UN"	"Population, age 4, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG05.FE.UN"	"Population, age 5, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG05.MA.UN"	"Population, age 5, male"	"Population, age 5, male refers to the male population at the specified age."
"SP.POP.AG05.TO.UN"	"Population, age 5, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG06.FE.UN"	"Population, age 6, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG06.MA.UN"	"Population, age 6, male"	"Population, age 6, male refers to the male population at the specified age."
"SP.POP.AG06.TO.UN"	"Population, age 6, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG07.FE.UN"	"Population, age 7, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG07.MA.UN"	"Population, age 7, male"	"Population, age 7, male refers to the male population at the specified age."
"SP.POP.AG07.TO.UN"	"Population, age 7, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG08.FE.UN"	"Population, age 8, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG08.MA.UN"	"Population, age 8, male"	"Population, age 8, male refers to the male population at the specified age."
"SP.POP.AG08.TO.UN"	"Population, age 8, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG09.FE.UN"	"Population, age 9, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG09.MA.UN"	"Population, age 9, male"	"Population, age 9, male refers to the male population at the specified age."
"SP.POP.AG09.TO.UN"	"Population, age 9, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG10.FE.UN"	"Population, age 10, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG10.MA.UN"	"Population, age 10, male"	"Population, age 10, male refers to the male population at the specified age."
"SP.POP.AG10.TO.UN"	"Population, age 10, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG11.FE.UN"	"Population, age 11, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG11.MA.UN"	"Population, age 11, male"	"Population, age 11, male refers to the male population at the specified age."
"SP.POP.AG11.TO.UN"	"Population, age 11, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG12.FE.UN"	"Population, age 12, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG12.MA.UN"	"Population, age 12, male"	"Population, age 12, male refers to the male population at the specified age."
"SP.POP.AG12.TO.UN"	"Population, age 12, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG13.FE.UN"	"Population, age 13, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG13.MA.UN"	"Population, age 13, male"	"Population, age 13, male refers to the male population at the specified age."
"SP.POP.AG13.TO.UN"	"Population, age 13, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG14.FE.UN"	"Population, age 14, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG14.MA.UN"	"Population, age 14, male"	"Population, age 14, male refers to the male population at the specified age."
"SP.POP.AG14.TO.UN"	"Population, age 14, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG15.FE.UN"	"Population, age 15, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG15.MA.UN"	"Population, age 15, male"	"Population, age 15, male refers to the male population at the specified age."
"SP.POP.AG15.TO.UN"	"Population, age 15, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG16.FE.UN"	"Population, age 16, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG16.MA.UN"	"Population, age 16, male"	"Population, age 16, male refers to the male population at the specified age."
"SP.POP.AG16.TO.UN"	"Population, age 16, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG17.FE.UN"	"Population, age 17, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG17.MA.UN"	"Population, age 17, male"	"Population, age 17, male refers to the male population at the specified age."
"SP.POP.AG17.TO.UN"	"Population, age 17, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG18.FE.UN"	"Population, age 18, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG18.MA.UN"	"Population, age 18, male"	"Population, age 18, male refers to the male population at the specified age."
"SP.POP.AG18.TO.UN"	"Population, age 18, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG19.FE.UN"	"Population, age 19, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG19.MA.UN"	"Population, age 19, male"	"Population, age 19, male refers to the male population at the specified age."
"SP.POP.AG19.TO.UN"	"Population, age 19, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG20.FE.UN"	"Population, age 20, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG20.MA.UN"	"Population, age 20, male"	"Population, age 20, male refers to the male population at the specified age."
"SP.POP.AG20.TO.UN"	"Population, age 20, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG21.FE.UN"	"Population, age 21, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG21.MA.UN"	"Population, age 21, male"	"Population, age 21, male refers to the male population at the specified age."
"SP.POP.AG21.TO.UN"	"Population, age 21, total"	"Age population, total refers to total population at the specified age level, as estimated by the UNESCO Institute for Statistics."
"SP.POP.AG22.FE.UN"	"Population, age 22, female"	"Age population, female refers to female population at the specified age level, as estimated by the UNESCO Institute for Statistics."
